time,logger,level,message,exception
2012-01-14 14:13:50.0302,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 95
  CacheMemoryLimit    = 134217728
  PollingInterval     = 00:02:00",
2012-01-14 14:13:50.4208,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 65536
  DatabasePageSize = 4096",
2012-01-14 14:13:58.8729,Raven.Database.DocumentDatabase,Debug,Delete a document with key: Raven/Backup/Status and etag ,
2012-01-14 14:13:58.9030,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Document with key 'Raven/Backup/Status' was not found, and considered deleted",
2012-01-14 14:13:58.9030,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 1 - step 1/2,
2012-01-14 14:13:58.9030,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 2 - step 2/2,
2012-01-14 14:14:00.4552,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work",
2012-01-14 14:14:00.5854,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work",
2012-01-14 14:14:00.5854,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work",
2012-01-14 14:14:00.5954,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work",
2012-01-14 14:14:14.1849,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-01-14 14:14:15.2865,Raven.Database.Indexing.IndexStorage,Info,Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName,
2012-01-14 14:14:16.1578,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Raven/DocumentsByEntityName,
2012-01-14 14:14:16.1878,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 3 - step 1/2,
2012-01-14 14:14:16.1878,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 4 - step 2/2,
2012-01-14 14:14:16.1978,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work",
2012-01-14 14:14:16.2179,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work",
2012-01-14 14:14:16.2179,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work",
2012-01-14 14:14:16.2279,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work",
